product_category_name,price,payment_sequential,payment_installments,bank_clients,month,year
dentista,145.86,3,10,Jeff,2,2020
brinquedos_artigos_infantis,99.16,1,1,Norma,6,2018
vestuario_e_acessorios,119.82,1,1,Solomon,4,2015
combustível,50.84,1,8,Sita,8,2015
loja_de_conveniencia,36.13,1,1,Richard,3,2016
tv_internet,86.73,1,2,Gang,5,2017
outros_cursos,86.63,1,1,Leila,12,2016
produtos_de_beleza,43.09,1,5,Qiang,4,2019
outros_esportes,248.8,1,1,Monica,2,2021
medico,279.7,1,3,Ursula,9,2017
salao_barbearia,77.3,1,1,Mariama,2,2018
outros_cursos,133.47,1,5,Elizabeth,12,2022
veterinario,74.36,1,10,Solomon,5,2021
lavanderia,138.08,1,3,Mikhail,2,2016
outros_esportes,348.66,1,2,Tun,1,2015
artigos_esportivos,219.63,1,1,Tun,7,2022
jardinagem,113.05,1,8,Karina,7,2016
videogames,53.54,1,1,Manfred,9,2019
taxi_transporte_por_aplicativo,85.14,1,1,Kassa,3,2016
spa_massagem,180.1,1,1,Hatice,2,2021
hospedagem,93.24,1,1,Roman,8,2018
moveis_decoracao,175.98,1,1,Kim,11,2021
salao_barbearia,157.13,1,1,Linh,6,2015
outros_esportes,231.38,1,1,Solomon,6,2016
associacoes_clubes,167.32,1,10,Gregory,10,2017
spa_massagem,107.78,1,1,Amy,6,2022
lavanderia,143.06,1,10,Norma,2,2018
hospedagem,104.63,1,1,Ida,8,2019
outros_cursos,72.86,1,5,Gustavo,7,2017
taxi_transporte_por_aplicativo,116.94,1,2,Arthur,4,2017
dentista,87.64,1,8,Sam,9,2020
medico,189.37,1,4,Heba,6,2016
jardinagem,155.14,1,1,Ming,8,2019
jardinagem,117.35,1,1,Zhihua,8,2021
estacionamento,46.71,2,1,Gopal,9,2021
jardinagem,54.34,12,3,Farzana,8,2016
estacionamento,44.38,1,2,Ida,6,2022
eletronicos,175.87,1,1,Sayed,4,2016
associacoes_clubes,195.5,1,6,Kim,1,2021
pet_shop,82.73,1,1,Ravi,10,2016
dentista,49.32,1,8,Ravi,10,2021
dentista,144.1,1,4,Saroj,5,2020
pet_shop,55.24,1,1,Chantal,4,2021
mercadorias_em_geral,19.33,1,5,Christina,5,2016
outros_esportes,54.03,2,1,Petra,3,2019
farmacia,41.29,1,2,Paula,9,2020
eletronicos,33.32,1,10,Hieu,9,2020
combustível,118.35,1,1,Heba,11,2021
videogames,102.11,1,1,Ming,11,2015
restaurantes,309.41,1,3,Karina,5,2015
taxi_transporte_por_aplicativo,57.51,1,5,Nguyen,12,2016
videogames,46.85,1,1,Hatice,6,2018
videogames,62.69,3,4,Manfred,6,2015
cinema,69.82,1,2,Qiang,5,2020
combustível,157.55,1,1,Zainab,10,2019
entrega,86.33,1,1,Kathy,1,2021
tv_internet,178.03,1,1,Nina,4,2022
moveis_decoracao,218.22,1,3,Sayed,8,2019
cafeteria,187.47,1,1,Heba,11,2016
supermercado_mercearia,118.68,1,5,Lal,3,2022
lavanderia,256.43,1,1,Farzana,3,2017
assinatura_de_servicos,66.44,1,1,Joao,7,2018
cursos_idiomas,34.01,1,1,Sumitra,5,2017
estacionamento,106.28,1,1,Claudio,10,2019
veterinario,194.5,1,1,Dolores,3,2020
ingresso_entretenimento,37.34,1,1,Wendy,9,2016
passagem_aerea_taxas,48.69,1,4,Haiying,3,2019
videogames,135.82,1,1,Sara,3,2022
cinema,101.74,1,10,Heba,4,2019
mercadorias_em_geral,138.15,1,2,Petra,6,2018
assinatura_de_servicos,74.36,1,5,Osman,5,2021
tv_internet,65.1,1,1,Zainab,10,2019
lavanderia,59.01,1,1,Haiying,2,2019
academia,18.05,1,1,Joseph,11,2017
outros_gastos_saude,128.95,1,1,Gregory,2,2019
livraira_papelaria,65.22,1,10,Herbert,5,2017
produtos_de_beleza,185.86,1,3,Lal,3,2019
produtos_de_beleza,213.9,1,3,Radha,7,2019
lavanderia,75.65,3,1,Luz,7,2020
salao_barbearia,192.45,1,1,Wenjie,2,2015
cinema,41.17,1,3,Arthur,5,2022
assinatura_de_servicos,415.14,1,1,Joao,4,2015
ingresso_entretenimento,20.0,1,1,Chantal,2,2021
pet_shop,53.99,1,1,Christina,10,2017
salao_barbearia,82.99,1,1,Ida,11,2015
veterinario,55.05,1,1,Gang,5,2022
pet_shop,173.46,1,7,Simone,8,2016
artigos_esportivos,73.97,1,4,Kim,5,2017
artigos_esportivos,180.71,1,6,Karina,9,2016
combustível,34.79,1,6,Kathy,5,2020
jardinagem,102.66,1,6,Osman,12,2015
cursos_idiomas,32.38,1,1,Solomon,12,2018
artigos_esportivos,88.48,1,1,Norma,2,2018
supermercado_mercearia,84.71,1,2,Mikhail,9,2015
estacionamento,67.68,1,6,Cynthia,9,2018
cinema,42.77,1,1,Gopal,12,2020
tv_internet,95.48,1,1,Adel,2,2015
videogames,86.02,1,1,Luz,8,2018
vestuario_e_acessorios,97.43,1,1,Gustavo,8,2017
hospedagem,42.69,1,10,Sita,6,2021
pet_shop,177.6,1,1,Leila,9,2016
spa_massagem,102.06,1,1,Sergey,12,2022
passagem_aerea_taxas,198.09,1,5,Abdul,12,2016
loja_de_conveniencia,121.44,1,2,Tania,12,2021
cursos_idiomas,49.4,1,8,Jianmin,5,2022
pet_shop,38.0,1,1,Kamal,5,2022
artigos_esportivos,19.26,1,1,Dolores,10,2015
eletronicos,91.96,1,3,Shigeru,6,2020
outros_gastos_saude,99.9,1,1,Saroj,6,2021
supermercado_mercearia,188.22,1,5,Amy,11,2019
lavanderia,169.82,1,1,Zhigang,8,2019
passagem_aerea_taxas,29.77,1,1,Christina,2,2017
medico,165.7,1,9,Cynthia,8,2022
medico,88.27,1,2,Khalid,3,2021
outros_esportes,79.59,1,1,Yoko,12,2022
dentista,44.26,3,2,Gopal,12,2020
salao_barbearia,41.89,1,1,Jianmin,5,2022
outros_cursos,106.16,1,3,Yoko,6,2017
combustível,64.1,1,3,Khalid,12,2022
outros_gastos_saude,48.75,1,1,Joseph,11,2019
